id,depth,title,href
1,1.0,Introduction [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_1
2,1.0,Getting started with ggplot2 [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_2
3,1.0,Toolbox [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_3
4,1.0,Mastering the grammar [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_4
5,1.0,Build a plot layer by layer [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_5
6,1.0,"Scales, axes and legends [ggplot2]",http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_6
7,1.0,Positioning [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_7
8,1.0,Themes [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_8
9,1.0,Data analysis [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_9
10,1.0,Data transformation [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_10
11,1.0,Modelling for visualisation [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_11
12,1.0,Programming with ggplot2 [ggplot2],http://link.springer.com.ezproxy.stanford.edu/chapter/10.1007/978-3-319-24277-4_12
